benchmark,network_id,network,domain,fold,family,method_id,method,parameter,parameter_value,is_primary,configuration_scoring_seconds,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,123.80299202306196,0.9314157382334295,0.9379893524165724,0.8650238604574626,0.8650238604574626,0.8650238604574626,0.8754969994452286,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,srw,SRW-l3,steps,3.0,True,123.80299202306196,0.950588893699126,0.954545528472313,0.8888431792002632,0.8888431792002632,0.8888431792002632,0.8981418701410538,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,123.80299202306196,0.9169811300850251,0.9333616771575705,0.8616916241566562,0.8616916241566562,0.8616916241566562,0.870416958243342,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,207.24806182691827,0.878018047347068,0.8916641973506095,0.8084992595030442,0.8084992595030442,0.8084992595030442,0.8208988123918837,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,srw,SRW-l3,steps,5.0,False,207.24806182691827,0.9362899210143184,0.942554633330056,0.8708655586638144,0.8708655586638144,0.8708655586638143,0.8810420574204405,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,pfp,PFP-l3,steps,5.0,False,207.24806182691827,0.9069863948630029,0.9247367908898498,0.8516537765344743,0.8516537765344743,0.8516537765344744,0.8606379332727612,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,lrw,LRW-l3,steps,7.0,False,211.34169976832345,0.8405148599691146,0.8582894784336033,0.7734902089846964,0.7734902089846964,0.7734902089846964,0.7865130431029477,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,srw,SRW-l3,steps,7.0,False,211.34169976832345,0.9223380686109768,0.9306883703323664,0.8566315616258022,0.8566315616258022,0.8566315616258022,0.8672820188217683,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,pfp,PFP-l3,steps,7.0,False,211.34169976832345,0.9069834497791537,0.9247335567244117,0.8516537765344743,0.8516537765344743,0.8516537765344744,0.860637753860146,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,1.4184206570498645,0.9112649852541639,0.9199830246424249,0.8426032581866052,0.8426032581866052,0.8426032581866053,0.8540423768562116,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,1.4189204727299511,0.9362891488665788,0.9423369990435129,0.8709889748231036,0.8709889748231036,0.8709889748231036,0.8811829109537281,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,1.5012354790233076,0.9472276548153528,0.9511171802550716,0.8832483133124898,0.8832483133124898,0.8832483133124899,0.8929784695505864,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,122.18946403916925,0.9324329187490897,0.939354900499538,0.8673276287641929,0.8673276287641929,0.8673276287641929,0.8775870014558028,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_walk,srw,SRW-l3,steps,3.0,True,122.18946403916925,0.9517961498077983,0.9561519448764714,0.8922576929405956,0.8922576929405956,0.8922576929405956,0.9012253213554254,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,122.18946403916925,0.9177710384566016,0.9352688032516933,0.86539410893533,0.86539410893533,0.86539410893533,0.8734715111423468,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,205.42500652279705,0.8791743201864058,0.8929317219578191,0.8114201086062202,0.8114201086062202,0.8114201086062202,0.8234971499604563,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_walk,srw,SRW-l3,steps,5.0,False,205.42500652279705,0.9373675320062196,0.9440302902762147,0.8744446272831989,0.8744446272831989,0.8744446272831988,0.8842478836359801,24308,24308,24308,48616
