benchmark,network_id,network,domain,family,analysis_family,method_id,method,fold_count,mean_distinct_score_count,mean_tie_group_count,mean_tied_candidate_count,mean_tied_candidate_ratio,mean_largest_tie_group,mean_cutoff_tie_size,cutoff_boundary_tie_count,cutoff_boundary_tie_rate
standard,email_eu_core,email-Eu-core,communication,quasi_local_walk,quasi_local_walk,lrw,LRW-l3,5,5698.2,15.6,349.0,0.057861906207248404,318.6,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,quasi_local_walk,quasi_local_walk,pfp,PFP-l3,5,5714.0,3.2,320.8,0.05318650997884135,316.4,1.0,0,0.0
standard,email_eu_core,email-Eu-core,communication,quasi_local_walk,quasi_local_walk,srw,SRW-l3,5,5700.2,15.8,347.2,0.05756348672200442,316.4,1.0,0,0.0
standard,email_univ,email-univ,communication,degree_based,standard_local,pa,PA,5,328.6,224.2,1623.2,0.939569653662933,47.0,14.6,4,0.8
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,car_aa,CAR-AA,5,313.8,24.2,1438.0,0.8323690506845199,1385.8,1385.8,5,1.0
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,car_cn,CAR-CN,5,55.8,34.2,1706.0,0.9874963789107764,1385.8,1385.8,5,1.0
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,car_ra,CAR-RA,5,312.8,24.8,1439.6,0.833295378953693,1385.8,1385.8,5,1.0
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,fsw,FSW,5,438.4,109.8,1399.0,0.8097922299472126,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,ia1,IA1,5,469.8,60.8,1318.6,0.763256137075662,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,ia2,IA2,5,467.8,60.4,1320.2,0.7641817947727565,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,lit,LIT-i2,5,668.6,6.6,1065.6,0.6168096326337926,1053.2,1053.2,5,1.0
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,ra_cni,RA-CNI,5,1086.2,38.2,679.6,0.39337930775503194,596.0,1.6,0,0.0
standard,email_univ,email-univ,communication,local_bayesian,local_bayesian,lnb_aa,LNB-AA,5,598.8,70.2,1199.0,0.694026275696322,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_bayesian,local_bayesian,lnb_cn,LNB-CN,5,595.8,70.4,1202.2,0.695878529891421,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_bayesian,local_bayesian,lnb_ra,LNB-RA,5,598.8,70.2,1199.0,0.694026275696322,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,aa,AA,5,467.0,66.6,1327.2,0.7682329889275138,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,cn,CN,5,14.0,12.8,1726.4,0.99930542144114,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,hdi,HDI,5,147.6,99.4,1679.4,0.9720999098751127,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,hpi,HPI,5,111.4,71.8,1688.0,0.977078236985537,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,ja,JA,5,199.0,117.0,1645.6,0.9525358353718725,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,llhn,LLHN,5,360.4,136.8,1504.0,0.870571541993906,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,ra,RA,5,459.8,69.0,1336.8,0.7737894832839792,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,sa,SA,5,452.2,130.0,1405.4,0.8134972747950732,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,local_similarity,standard_local,so,SO,5,199.0,117.0,1645.6,0.9525358353718725,1022.2,1022.2,5,1.0
standard,email_univ,email-univ,communication,quasi_local_path,quasi_local_path,fl,FL-l3,5,281.4,142.6,1588.8,0.9196564793356508,591.8,42.6,5,1.0
standard,email_univ,email-univ,communication,quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,5,281.4,142.6,1588.8,0.9196564793356508,591.8,42.6,5,1.0
standard,email_univ,email-univ,communication,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,5,1105.2,27.2,649.6,0.3760145755546972,591.8,1.2,0,0.0
standard,email_univ,email-univ,communication,quasi_local_walk,quasi_local_walk,lrw,LRW-l3,5,1087.2,31.2,671.6,0.3887487393244925,604.6,1.2,0,0.0
standard,email_univ,email-univ,communication,quasi_local_walk,quasi_local_walk,pfp,PFP-l3,5,1132.8,5.0,599.8,0.3471881571606369,591.8,1.0,0,0.0
standard,email_univ,email-univ,communication,quasi_local_walk,quasi_local_walk,srw,SRW-l3,5,1104.4,28.8,652.0,0.3774034644435861,591.8,1.0,0,0.0
standard,power_1138_bus,power-1138-bus,infrastructure,degree_based,standard_local,pa,PA,5,23.0,16.8,122.2,0.9517548076923077,18.6,13.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,car_aa,CAR-AA,5,2.2,1.2,127.4,0.9922115384615384,127.0,127.0,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,car_cn,CAR-CN,5,2.4,1.0,127.0,0.9890865384615385,127.0,127.0,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,car_ra,CAR-RA,5,2.2,1.2,127.4,0.9922115384615384,127.0,127.0,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,fsw,FSW,5,17.4,7.0,118.0,0.9189182692307692,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,ia1,IA1,5,13.8,7.0,121.6,0.9469711538461538,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,ia2,IA2,5,12.8,7.0,122.6,0.9547596153846154,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,lit,LIT-i2,5,12.4,1.4,117.4,0.9143509615384616,116.6,116.6,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,ra_cni,RA-CNI,5,24.8,8.2,111.8,0.8706490384615385,89.4,89.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_bayesian,local_bayesian,lnb_aa,LNB-AA,5,18.2,6.4,116.6,0.9079567307692308,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_bayesian,local_bayesian,lnb_cn,LNB-CN,5,18.2,6.4,116.6,0.9079567307692308,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_bayesian,local_bayesian,lnb_ra,LNB-RA,5,18.2,6.4,116.6,0.9079567307692308,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_similarity,standard_local,aa,AA,5,13.8,7.0,121.6,0.9469711538461538,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_similarity,standard_local,cn,CN,5,4.0,3.2,127.6,0.99375,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_similarity,standard_local,hdi,HDI,5,12.2,7.0,123.2,0.9594230769230769,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_similarity,standard_local,hpi,HPI,5,7.2,5.4,126.6,0.985985576923077,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_similarity,standard_local,ja,JA,5,14.2,7.0,121.2,0.9438942307692308,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_similarity,standard_local,llhn,LLHN,5,16.6,7.4,119.2,0.9282932692307693,102.4,102.4,5,1.0
standard,power_1138_bus,power-1138-bus,infrastructure,local_similarity,standard_local,ra,RA,5,13.6,7.2,122.0,0.9500961538461539,102.4,102.4,5,1.0
