benchmark,network_id,network,domain,negative_ratio,is_primary_ratio,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.951011773612424,0.005615707424231059,0.981614732487013,0.0028125098150451854,0.9185105234754453,0.007958921318808742,0.9185105234754453,0.007958921318808742,0.9185105234754453,0.007958921318808742,0.9300073693714893,0.006756752071662472
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,degree_based,pa,PA,0.5561130112050099,0.006753323378024111,0.8424318523163237,0.002609443920475663,0.5167835941716137,0.0039027921709151965,0.5167835941716137,0.0039027921709151965,0.5167835941716137,0.0039027921709151965,0.5661773569363431,0.004165334518630788
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,quasi_local_walk,pfp,PFP-l3,0.9451144125634887,0.005732389519681623,0.981632792202024,0.0027800856200382758,0.9288720992984348,0.005181912092458859,0.9288720992984348,0.005181912092458859,0.9288720992984351,0.005181912092458844,0.9373855667755487,0.004408148258080747
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,ra,RA,0.9368703684451687,0.006319367434304096,0.9667110116498414,0.003546182596280899,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9446457121631482,0.005908557747870135
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,enhanced_local,ra_cni,RA-CNI,0.9506388434909349,0.005624550527929243,0.9813651146650653,0.0028092368123256678,0.9185105234754453,0.007958921318808742,0.9185105234754453,0.007958921318808742,0.9185105234754453,0.007958921318808742,0.9300078586536117,0.006757771020466626
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,sa,SA,0.9283017249046441,0.008424699540059893,0.9661552465641836,0.003615770828459824,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9434666951105447,0.006280532717006705
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,so,SO,0.927835029310377,0.008379271227458168,0.9661259275590203,0.003613875209697233,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9434389035194226,0.006278160992368637
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,quasi_local_walk,srw,SRW-l3,0.9638246363443029,0.005089912360246224,0.9826789450982917,0.0027486413513492726,0.9411764705882353,0.006487218176023374,0.9411764705882353,0.006487218176023374,0.9411764705882353,0.006487218176023374,0.9502909219003474,0.005462431374957259
standard,ca_hepth,ca-HepTh,scientific_collaboration,1,True,local_similarity,aa,AA,0.9365702640989475,0.002562805655307906,0.9365065520784486,0.0025591689303839016,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041081437162009,0.004347420533774214
standard,ca_hepth,ca-HepTh,scientific_collaboration,1,True,enhanced_local,car_aa,CAR-AA,0.7405121719956682,0.003858339799907191,0.7404590183084541,0.0038962610980995327,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.6971291531671893,0.003432733096244645
