benchmark,network_id,network,domain,fold,family,analysis_family,candidate_count,family_scoring_seconds,method_count,candidates_per_second
standard,power_grid,power-grid,infrastructure,1,local_bayesian,local_bayesian,662,0.028596939984709,3,23149.329975653913
standard,power_grid,power-grid,infrastructure,1,local_similarity,standard_local,662,0.0064364857971668,9,102851.15525173658
standard,power_grid,power-grid,infrastructure,1,quasi_local_path,quasi_local_path,662,0.0187457031570374,3,35314.75957206097
standard,power_grid,power-grid,infrastructure,1,quasi_local_walk,quasi_local_walk,662,0.0683596758171916,3,9684.071670707299
standard,power_grid,power-grid,infrastructure,2,degree_based,standard_local,662,0.005926240235567,1,111706.57511096702
standard,power_grid,power-grid,infrastructure,2,enhanced_local,enhanced_local,662,0.1048472579568624,8,6313.946715443608
standard,power_grid,power-grid,infrastructure,2,local_bayesian,local_bayesian,662,0.0363603201694786,3,18206.660362569986
standard,power_grid,power-grid,infrastructure,2,local_similarity,standard_local,662,0.0116410041227936,9,56867.94652909492
standard,power_grid,power-grid,infrastructure,2,quasi_local_path,quasi_local_path,662,0.017715644557029,3,37368.10127731648
standard,power_grid,power-grid,infrastructure,2,quasi_local_walk,quasi_local_walk,662,0.0798483211547136,3,8290.719083715148
standard,power_grid,power-grid,infrastructure,3,degree_based,standard_local,662,0.0046330010518431,1,142887.9451120874
standard,power_grid,power-grid,infrastructure,3,enhanced_local,enhanced_local,662,0.1076214080676436,8,6151.192517235151
standard,power_grid,power-grid,infrastructure,3,local_bayesian,local_bayesian,662,0.0273498119786381,3,24204.919599339955
standard,power_grid,power-grid,infrastructure,3,local_similarity,standard_local,662,0.0088037769310176,9,75194.99928123252
standard,power_grid,power-grid,infrastructure,3,quasi_local_path,quasi_local_path,662,0.022065226919949,3,30001.957487302836
standard,power_grid,power-grid,infrastructure,3,quasi_local_walk,quasi_local_walk,662,0.0617314600385725,3,10723.867531828238
standard,power_grid,power-grid,infrastructure,4,degree_based,standard_local,662,0.0040547149255871,1,163266.71841279842
standard,power_grid,power-grid,infrastructure,4,enhanced_local,enhanced_local,662,0.094500393141061,8,7005.261861840413
standard,power_grid,power-grid,infrastructure,4,local_bayesian,local_bayesian,662,0.0288629261776804,3,22935.997408049443
standard,power_grid,power-grid,infrastructure,4,local_similarity,standard_local,662,0.0066096317023038,9,100156.86649670036
standard,power_grid,power-grid,infrastructure,4,quasi_local_path,quasi_local_path,662,0.0424751401878893,3,15585.587171028392
standard,power_grid,power-grid,infrastructure,4,quasi_local_walk,quasi_local_walk,662,0.064174136146903,3,10315.68229425941
standard,power_grid,power-grid,infrastructure,5,degree_based,standard_local,660,0.0046879118308424,1,140787.63078643492
standard,power_grid,power-grid,infrastructure,5,enhanced_local,enhanced_local,660,0.0953310769982636,8,6923.240781303893
standard,power_grid,power-grid,infrastructure,5,local_bayesian,local_bayesian,660,0.0335687883198261,3,19661.120732504864
standard,power_grid,power-grid,infrastructure,5,local_similarity,standard_local,660,0.0067862980067729,9,97254.79183809833
standard,power_grid,power-grid,infrastructure,5,quasi_local_path,quasi_local_path,660,0.0180244077928364,3,36617.014416546306
standard,power_grid,power-grid,infrastructure,5,quasi_local_walk,quasi_local_walk,660,0.0622799107804894,3,10597.317686054874
standard,socfb_middlebury45,socfb-Middlebury45,social,1,degree_based,standard_local,48616,0.0416793636977672,1,1166428.555688445
standard,socfb_middlebury45,socfb-Middlebury45,social,1,enhanced_local,enhanced_local,48616,57.153201326262206,8,850.6260169482524
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_bayesian,local_bayesian,48616,1.4750867187976835,3,32958.06231624539
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_similarity,standard_local,48616,0.6516927611082792,9,74599.57038240359
standard,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_path,quasi_local_path,48616,69.01166747370735,3,704.4605902113891
standard,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,quasi_local_walk,48616,164.75720578618348,3,295.07662361725323
standard,socfb_middlebury45,socfb-Middlebury45,social,2,degree_based,standard_local,48616,0.0740933869965374,1,656144.9269726591
standard,socfb_middlebury45,socfb-Middlebury45,social,2,enhanced_local,enhanced_local,48616,62.40812965622172,8,779.0010735428806
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_bayesian,local_bayesian,48616,1.6009772308170795,3,30366.453103888423
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_similarity,standard_local,48616,0.7669498771429062,9,63388.75779093626
standard,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_path,quasi_local_path,48616,65.77343544876203,3,739.1433892467455
standard,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,quasi_local_walk,48616,164.9727819687687,3,294.69103581706946
standard,socfb_middlebury45,socfb-Middlebury45,social,3,degree_based,standard_local,48616,0.0455818818882107,1,1066564.1256153148
standard,socfb_middlebury45,socfb-Middlebury45,social,3,enhanced_local,enhanced_local,48616,58.64553531212732,8,828.9804115735761
standard,socfb_middlebury45,socfb-Middlebury45,social,3,local_bayesian,local_bayesian,48616,1.4886046475730836,3,32658.772145619798
standard,socfb_middlebury45,socfb-Middlebury45,social,3,local_similarity,standard_local,48616,0.577319797128439,9,84209.82658452673
standard,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_path,quasi_local_path,48616,64.0050073908642,3,759.5655712234047
standard,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_walk,quasi_local_walk,48616,163.3733013290912,3,297.5761621054
