benchmark,negative_ratio,is_primary_ratio,family,method_id,method,network_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks,precision_mean,precision_sd_across_networks,recall_mean,recall_sd_across_networks,f1_mean,f1_sd_across_networks,ndcg_mean,ndcg_sd_across_networks,average_precision_rank
standard,10,False,local_similarity,ja,JA,8,0.6915563380478045,0.20782566479162867,0.876650219245417,0.12128321940338399,0.6784567906826451,0.20045559266508317,0.6784567906826451,0.20045559266508317,0.6784567906826451,0.20045559266508317,0.7188960372164177,0.16549728627524288,17
standard,10,False,enhanced_local,lit,LIT-i2,8,0.6516763660555283,0.26462620292163236,0.8423655507394056,0.16104668638622482,0.6266059379032903,0.25157924676123333,0.6266059379032903,0.25157924676123333,0.6266059379032903,0.25157924676123333,0.6729567678466049,0.21405343785525843,21
standard,10,False,local_similarity,llhn,LLHN,8,0.5331482282140381,0.22425001129296454,0.8569150864405135,0.11160837013147742,0.5733088865955089,0.22337238769119652,0.5733088865955089,0.22337238769119652,0.5733088865955089,0.22337238769119652,0.5957257624699644,0.21538969917164605,26
standard,10,False,local_bayesian,lnb_aa,LNB-AA,8,0.7201529741473716,0.2057767176993708,0.8801642683900586,0.12298976957330507,0.6959029453507485,0.20148048114848166,0.6959029453507485,0.20148048114848166,0.6959029453507485,0.20148048114848166,0.7396363432539632,0.1629177576347381,9
standard,10,False,local_bayesian,lnb_cn,LNB-CN,8,0.7146222497435755,0.2038950858187166,0.8793978941852779,0.12249519107915437,0.6907804643701687,0.20059996996426738,0.6907804643701687,0.20059996996426738,0.6907804643701687,0.20059996996426738,0.7346294990599023,0.162587214608958,12
standard,10,False,local_bayesian,lnb_ra,LNB-RA,8,0.7234720991457815,0.2098628532515504,0.8807248818406729,0.12350465650888252,0.7000910258058133,0.20346191816676623,0.7000910258058133,0.20346191816676623,0.7000910258058133,0.20346191816676623,0.7432345332086225,0.1648065433658625,8
standard,10,False,quasi_local_path,lpi,LPI-beta-0.001,8,0.7662688505014703,0.15135772392270763,0.9191435645368239,0.08166151062975073,0.7378680388960268,0.1467357420845045,0.7378680388960268,0.1467357420845045,0.7378680388960268,0.14673574208450446,0.7734133887857104,0.1244247777065676,3
standard,10,False,quasi_local_walk,lrw,LRW-l3,8,0.7062475474334569,0.1985749202576229,0.8865472046407541,0.11600658049196891,0.6805006495720323,0.1828967660589986,0.6805006495720323,0.1828967660589986,0.6805006495720323,0.1828967660589986,0.7223296137247253,0.15180697565258497,15
standard,10,False,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,8,0.738847178153119,0.16269893619191747,0.9143854911029753,0.07985325069069074,0.7120342006073148,0.15155618870302298,0.7120342006073148,0.15155618870302298,0.7120342006073148,0.15155618870302298,0.7479291085325926,0.13504988147683203,4
standard,10,False,degree_based,pa,PA,8,0.380611074964967,0.13485769730347028,0.791936395695197,0.08134218622322227,0.39171408836300015,0.10590366489091221,0.39171408836300015,0.10590366489091221,0.39171408836300015,0.10590366489091221,0.42322918749263405,0.11210839545413978,27
standard,10,False,quasi_local_walk,pfp,PFP-l3,8,0.7142547914202547,0.16673931305918008,0.9141804850996839,0.07976486739980322,0.7101534245090738,0.15462633236078935,0.7101534245090738,0.15462633236078935,0.7101534245090738,0.15462633236078938,0.7390481433770922,0.14189558116143644,13
standard,10,False,local_similarity,ra,RA,8,0.7237860207508429,0.21022236695416258,0.8808509558421214,0.12357109917285487,0.7009180603517229,0.20343881058570698,0.7009180603517229,0.20343881058570698,0.7009180603517229,0.20343881058570698,0.7440507675418472,0.16468340367102835,7
standard,10,False,enhanced_local,ra_cni,RA-CNI,8,0.7326484818608445,0.16863052837508696,0.9106025349074212,0.08595759854433567,0.7052557533339185,0.15718590573834626,0.7052557533339185,0.15718590573834626,0.7052557533339185,0.15718590573834626,0.7425380880525021,0.1380149915390313,5
standard,10,False,local_similarity,sa,SA,8,0.6902001008527128,0.20867691162437868,0.8769742818553687,0.12160210261140049,0.6785254003346943,0.20077973147842823,0.6785254003346943,0.20077973147842823,0.6785254003346943,0.20077973147842823,0.7184096123044189,0.16571015458809163,19
standard,10,False,local_similarity,so,SO,8,0.6915563380478045,0.20782566479162867,0.876650219245417,0.12128321940338399,0.6784567906826451,0.20045559266508317,0.6784567906826451,0.20045559266508317,0.6784567906826451,0.20045559266508317,0.7188960372164177,0.16549728627524288,17
standard,10,False,quasi_local_walk,srw,SRW-l3,8,0.7854186871693661,0.15170501810222442,0.922321255858259,0.08311676268451113,0.7518852649361861,0.1461222989453528,0.7518852649361861,0.1461222989453528,0.7518852649361861,0.1461222989453528,0.7870489037224428,0.12241356995316006,1
