benchmark,network_id,network,domain,family,analysis_family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ego_facebook,ego-Facebook,social,degree_based,standard_local,pa,PA,0.8528110660931685,0.0024155889756391244,0.8396095863499016,0.003088502336612232,0.7588959185772086,0.0028340475659549215,0.7588959185772086,0.0028340475659549215,0.7588959185772086,0.0028340475659548873,0.7776775779702756,0.0025792419062759917
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,car_aa,CAR-AA,0.9818050886776742,0.0005061897184351609,0.9826606835372342,0.0004757918900486465,0.9718870230980311,0.0009710058577015515,0.9718870230980311,0.0009710058577015515,0.9718870230980311,0.0009710058577015515,0.9747480113057,0.0008590828667368872
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,car_cn,CAR-CN,0.9813841097044282,0.0005122643119895896,0.9824016625317075,0.0004815094841889465,0.9700579563136644,0.0015137910853493203,0.9700579563136644,0.0015137910853493203,0.9700579563136644,0.0015137910853493203,0.9731092652215121,0.001355376851944144
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,car_ra,CAR-RA,0.982843083021654,0.0005093378077468744,0.9833893885591589,0.0005042728268349421,0.9718632715395025,0.0009402829674777103,0.9718632715395025,0.0009402829674777103,0.9718632715395025,0.0009402829674777103,0.9748311236218985,0.0008366735725206919
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,fsw,FSW,0.9921097567114302,0.0006745559742294744,0.9930380551204344,0.0005451779458008418,0.9715782344994561,0.0015018234889465512,0.9715782344994561,0.0015018234889465512,0.9715782344994561,0.0015018234889465512,0.9745316578998233,0.0013609588453990307
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,ia1,IA1,0.9935481445872008,0.0005742646981767304,0.9942638874287685,0.0004836023177553514,0.9763528048717356,0.0012365174594085341,0.9763528048717356,0.0012365174594085341,0.9763528048717356,0.0012365174594085341,0.9788087852080032,0.0011213013434987523
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,ia2,IA2,0.9935037047959672,0.0005680629078661801,0.9942268562815977,0.00047898612076418775,0.9765784644260533,0.0012367707199479345,0.9765784644260533,0.0012367707199479345,0.9765784644260533,0.0012367707199479345,0.9790029947179283,0.0011168825785908324
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,lit,LIT-i2,0.9917346536091136,0.0006844227919282395,0.9924061003175702,0.0005958111377289592,0.9670174387333781,0.0017453041868248469,0.9670174387333781,0.0017453041868248469,0.9670174387333781,0.0017453041868248469,0.9704842343146556,0.001554486681335859
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,ra_cni,RA-CNI,0.9891603249801767,0.0007070233266225341,0.9905446267591989,0.0006179568779930449,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9573168049252263,0.001891163129460466
standard,ego_facebook,ego-Facebook,social,local_bayesian,local_bayesian,lnb_aa,LNB-AA,0.9927814987681934,0.0006450729621998333,0.9936602249157469,0.0005338704484596449,0.9747018888822592,0.0012220368171747546,0.9747018888822592,0.0012220368171747546,0.9747018888822592,0.0012220368171747546,0.9772914158334072,0.0011046935241602017
